# exe=build/examples/mipsel-sony-psx/release/hardware-tests.exe words=214528 probes=19
probe,start,end,words,digest
timed_empty,0x00000040,0x00000440,6,0x21bbd739
timed_uncached_ram_read_once,0x00000640,0x00000a40,8,0x70477061
timed_nops,0x00000080,0x00000480,134,0x9a019939
timed_dependent_alu,0x000000c0,0x000004c0,134,0x094a55b9
timed_load_hazards_at,0x00000100,0x00000500,134,0xe88f9939
timed_byte_load_hazards_at,0x00000500,0x00000900,134,0x708f9939
timed_half_load_hazards_at,0x00000540,0x00000940,134,0x988f9939
timed_unaligned_word_loads_at,0x00000600,0x00000a00,198,0x59338179
timed_stores_at,0x00000140,0x00000540,70,0x46ee3839
timed_byte_stores_at,0x00000580,0x00000980,70,0x8eee3839
timed_half_stores_at,0x000005c0,0x000009c0,70,0xa6ee3839
timed_taken_branches,0x00000180,0x00000580,134,0xb37ce439
timed_untaken_branches,0x000004c0,0x000008c0,134,0x837ce439
timed_multu_mflo,0x000001c0,0x000005c0,38,0xa39da059
timed_divu_mflo,0x00000200,0x00000600,22,0x8721ff89
timed_icache_cold,0x000003c0,0x000007c0,8,0x34ef59d8
timed_icache_warm,0x00000400,0x00000021,10,0xfdb399b1
timed_icache_entry_cold,0x00000440,0x00000840,8,0x34ef59d8
timed_icache_entry_warm,0x00000480,0x00000880,10,0xfdb399b1
# ambiguous=0 drift=0
